variable;area;type;variable_detail;Methdology
Economy;;;;
Year;;;;
Rank global (DB18);global;Rank;;DB18
DTF global (DB17-18 methodology);global;DTF;;DB17-18 methodology
DTF global (DB16 methodology);global;DTF;;
DTF global (DB15 methodology);global;DTF;;
DTF global (DB10-14 methodology);global;DTF;;
Rank - Starting a business (DB18);Starting a business;Rank;;
Starting a Business - DTF - Starting a business;Starting a Business;DTF;;
Starting a Business - Procedures - Men (number);Starting a Business;subindicator;Procedures - Men (number);
Starting a Business - Time - Men (days);Starting a Business;subindicator;Time - Men (days);
Starting a Business - Cost - Men (% of income per capita);;;;
Starting a Business - Procedures - Women (number);;;;
Starting a Business - Time - Women (days);;;;
Starting a Business - Cost - Women (% of income per capita);;;;
Starting a Business - Minimum capital (% of income per capita);;;;
Rank - Dealing with construction permits (DB18);;;;
Dealing with Construction Permits - DTF - Dealing with construction permits (DB16-18 methodology);;;;
Dealing with Construction Permits - DTF - Dealing with construction permits (DB06-15 methodology);;;;
Dealing with Construction Permits - Procedures (number);;;;
Dealing with Construction Permits - Time (days);;;;
Dealing with Construction Permits - Cost (% of Warehouse value);;;;
Dealing with Construction Permits - Building quality control index (0-15) (DB16-18 methodology);;;;
Dealing with Construction Permits - Quality of building regulations index (0-2) (DB16-18 methodology);;;;
Dealing with Construction Permits - Quality control before construction index (0-1) (DB16-18 methodology);;;;
Dealing with Construction Permits - Quality control during construction index (0-3) (DB16-18 methodology);;;;
Dealing with Construction Permits - Quality control after construction index (0-3) (DB16-18 methodology);;;;
Dealing with Construction Permits - Liability and insurance regimes index (0-2) (DB16-18 methodology);;;;
Dealing with Construction Permits - Professional certifications index (0-4) (DB16-18 methodology);;;;
Rank - Getting electricity (DB18);;;;
Getting Electricity - DTF - Getting electricity  (DB16-18 methodology);;;;
Getting Electricity - DTF - Getting electricity (DB10-15 methodology);;;;
Getting Electricity - Procedures (number);;;;
Getting Electricity - Time (days);;;;
Getting Electricity - Cost (% of income per capita);;;;
Getting Electricity - Reliability of supply and transparency of tariff index (0-8) (DB16-18 methodology);;;;
Getting Electricity - Total duration and frequency of outages per customer a year (0-3) (DB16-18 methodology);;;;
Getting Electricity - System average interruption duration index (SAIDI) (DB16-18 methodology);;;;
Getting Electricity - System average interruption frequency index (SAIFI) (DB16-18 methodology);;;;
Getting Electricity - Minimum outage time (in minutes)  (DB16-18 methodology);;;;
Getting Electricity - Mechanisms for monitoring outages (0-1) (DB16-18 methodology);;;;
Getting Electricity - Mechanisms for restoring service (0-1) (DB16-18 methodology);;;;
Getting Electricity - Regulatory monitoring (0-1) (DB16-18 methodology);;;;
Getting Electricity - Financial deterrents aimed at limiting outages (0-1) (DB16-18 methodology);;;;
Getting Electricity - Communication of tariffs and tariff changes (0-1) (DB16-18 methodology);;;;
Rank - Registering property (DB18);;;;
Registering Property - DTF - Registering property (DB17-18 methodology);;;;
Registering Property - DTF - Registering property (DB16 methodology);;;;
Registering Property - DTF - Registering property (DB05-15 methodology);;;;
Registering Property - Procedures (number);;;;
Registering Property - Time (days);;;;
Registering Property - Cost (% of property value);;;;
Registering Property - Quality of land administration index (0-30) (DB16 methodology);;;;
Registering Property - Quality of land administration index (0-30) (DB17-18 methodology);;;;
Registering Property - Reliability of infrastructure index (0-8) (DB16-18 methodology);;;;
Registering Property - Transparency of information index (0-6) (DB16-18 methodology);;;;
Registering Property - Geographic coverage index (0-8) (DB16-18 methodology);;;;
Registering Property - Land dispute resolution index (0-8) (DB16-18 methodology);;;;
Registering Property - Equal access to property rights index (-2-0) (DB17-18 methodology);;;;
Rank - Getting credit (DB18);;;;
