variable;area;indicatorID;type;variable_detail;Methdology;Duv
Economy;;;;;;
Year;;;;;;
Rank global (DB18);global;;Rank;;DB18;
DTF global (DB17-18 methodology);global;;DTF;;DB17-18 methodology;
DTF global (DB16 methodology);global;;DTF;;DB16 methodology;
DTF global (DB15 methodology);global;;DTF;;DB15 methodology;
DTF global (DB10-14 methodology);global;;DTF;;DB10-14 methodology;
Rank - Starting a business (DB18);Starting a business;IC.REG.XQ;Rank;;DB18;
Starting a Business - DTF - Starting a business;Starting a Business;;DTF;Starting a Business;;
Starting a Business - Procedures - Men (number);Starting a Business;IC.REG.PROC.MA;subindicator;Procedures - Men (number);;
Starting a Business - Time - Men (days);Starting a Business;IC.REG.DURS.MA;subindicator;Time - Men (days);;
Starting a Business - Cost - Men (% of income per capita);Starting a Business ;IC.REG.COST.PC.MA.ZS;subindicator;Cost Men (% of income per capita);;
Starting a Business - Procedures - Women (number);Starting a Business ;IC.REG.PROC.WOMEN;subindicator;Procedures Women (number);;
Starting a Business - Time - Women (days);Starting a Business ;IC.REG.DURS.WOMEN;subindicator;Time Women (days);;
Starting a Business - Cost - Women (% of income per capita);Starting a Business ;IC.REG.COST.PC.ZS.WOMEN;subindicator;Cost Women (% of income per capita);;
Starting a Business - Minimum capital (% of income per capita);Starting a Business ;IC.REG.CAP.PC.ZS;subindicator; Minimum capital (% of income per capita);;
Rank - Dealing with construction permits (DB18);Dealing with construction permits;IC.FRM.XQ;Rank;;DB18;
Dealing with Construction Permits - DTF - Dealing with construction permits (DB16-18 methodology);Dealing with Construction Permits ;;DTF;Dealing with construction permits;DB16-18 methodology;
Dealing with Construction Permits - DTF - Dealing with construction permits (DB06-15 methodology);Dealing with Construction Permits ;;DTF;Dealing with construction permits;DB06-15 methodology;
Dealing with Construction Permits - Procedures (number);Dealing with Construction Permits ;IC.FRM.PROC;subindicator;Procedures (number);;
Dealing with Construction Permits - Time (days);Dealing with Construction Permits ;IC.FRM.TIME;subindicator;Time (days);;
Dealing with Construction Permits - Cost (% of Warehouse value);Dealing with Construction Permits ;IC.DCP.COST;subindicator;Cost (% of Warehouse value);;
Dealing with Construction Permits - Building quality control index (0-15) (DB16-18 methodology);Dealing with Construction Permits ;IC.DCP.BQCI;subindicator; Building quality control index (0 -15);DB16-18 methodology;
Dealing with Construction Permits - Quality of building regulations index (0-2) (DB16-18 methodology);Dealing with Construction Permits ;;subindicator; Quality of building regulations index (0 - 2);DB16-18 methodology;
Dealing with Construction Permits - Quality control before construction index (0-1) (DB16-18 methodology);Dealing with Construction Permits ;;subindicator; Quality control before construction index (0-1);DB16-18 methodology;
Dealing with Construction Permits - Quality control during construction index (0-3) (DB16-18 methodology);Dealing with Construction Permits ;;subindicator; Quality control during construction index (0-3);DB16-18 methodology;
Dealing with Construction Permits - Quality control after construction index (0-3) (DB16-18 methodology);Dealing with Construction Permits ;;subindicator; Quality control after construction index (0-3);DB16-18 methodology;
Dealing with Construction Permits - Liability and insurance regimes index (0-2) (DB16-18 methodology);Dealing with Construction Permits ;;subindicator; Liability and insurance regimes index (0-2);DB16-18 methodology;
Dealing with Construction Permits - Professional certifications index (0-4) (DB16-18 methodology);Dealing with Construction Permits ;;subindicator; Professional certifications index (0-4);DB16-18 methodology;
Rank - Getting electricity (DB18);Getting electricity;IC.ELEC.XQ;Rank ;;DB18;
Getting Electricity - DTF - Getting electricity  (DB16-18 methodology);Getting Electricity ;; DTF ; Getting electricity  ;DB16 -18 methodology;
Getting Electricity - DTF - Getting electricity (DB10-15 methodology);Getting Electricity ;; DTF ; Getting electricity  ;DB10-15 methodology;
