indicatorID,indicator,unit,indicatorDesc,sourceOrg,sourceID,source
IC.EXP.DOCS,Documents to export (number),NA,"All documents required per shipment to export goods are recorded. It is assumed that the contract has already been agreed upon and signed by both parties. Documents required for clearance by government ministries, customs authorities, port and container terminal authorities, health and technical control agencies and banks are taken into account. Since payment is by letter of credit, all documents required by banks for the issuance or securing of a letter of credit are also taken into account. Documents that are renewed annually and that do not require renewal per shipment (for example, an annual tax clearance certificate) are not included.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.EXP.CSDC.CD,"Cost to export, documentary compliance (US$)",NA,"Documentary compliance captures the time and cost associated with compliance with the documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. The aim is to measure the total burden of preparing the bundle of documents that will enable completion of the international trade for the product and partner pair assumed in the case study.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.EXP.CSBC.CD,"Cost to export, border compliance (US$)",NA,"Border compliance captures the time and cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. The time and cost for this segment include time and cost for customs clearance and inspection procedures conducted by other government agencies.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.EXP.COST.IMP.DOC,Cost to import: Documentary compliance (USD),NA,"This indicator calculates the cost of exporting a standardized shipment of goods by ocean transport, expressed in U.S. dollars per container. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the cost of each export procedure.","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.COST.IMP,Trade: Cost to import (US$ per container),NA,"This indicator calculates the cost of importing a standardized shipment of goods by ocean transport—from the vessel’s arrival at a port of entry to the cargo’s delivery to a warehouse—expressed in U.S. dollars per container. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the cost of each import procedure.
Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.COST.EXP.DOC,Cost to export: Documentary compliance (USD),NA,"This indicator calculates the cost of exporting a standardized shipment of goods by ocean transport, expressed in U.S. dollars per container. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the cost of each export procedure.","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.COST.EXP,Trade: Cost to export (US$ per container),NA,"This indicator calculates the cost of exporting a standardized shipment of goods by ocean transport, expressed in U.S. dollars per container. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the cost of each export procedure.
Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.COST.CD,Cost to export (US$ per container),NA,"Cost measures the fees levied on a 20-foot container in U.S. dollars. All the fees associated with completing the procedures to export or import the goods are included. These include costs for documents, administrative fees for customs clearance and technical control, customs broker fees, terminal handling charges and inland transport. The cost measure does not include tariffs or trade taxes. Only official costs are recorded. Several assumptions are made for the business surveyed: Has 60 or more employees; Is located in the country's most populous city; Is a private, limited liability company. It does not operate within an export processing zone or an industrial estate with special export or import privileges; Is domestically owned with no foreign ownership; Exports more than 10% of its sales. Assumptions about the traded goods: The traded product travels in a dry-cargo, 20-foot, full container load. The product: Is not hazardous nor does it include military items; Does not require refrigeration or any other special environment; Does not require any special phytosanitary or environmental safety standards other than accepted international standards.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.ELEC.XQ,Getting electricity (rank),NA,"This index averages the country's percentile rankings on the challenges required for a business to obtain a permanent electricity connection for a newly constructed warehouse. Included are the number of steps, time, and cost.","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.ELEC.TIME,Time required to get electricity (days),NA,"The number of days to obtain a permanent electricity connection. The measure captures the median duration that the electricity utility and experts indicate is necessary in practice, rather than required by law, to complete a procedure.","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
